DATETIME,GAS,COAL,NUCLEAR,WIND,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,Total Generation,Zero Carbon Generation,Carbon Generation,Carbon Intensity Max g/kwh,Carbon Intensity Min g/kwh,Carbon Intensity Average g/kwh,Min ZCO,Max ZCO,Average ZCO
2009,294821995,197621538,130004157,8314670,7116428,13369833,0,0,0,7233584,637878788,148435222,492443548,625,247,444.86,10.7,42.4,22.97
2010,314195780,205685016,117022074,9209660,4276624,13756013,0,0,0,6248258,650389154,130508440,519880792,592,276,461.49,11.4,36.9,20.01
2011,254093497,206793686,129542215,23823159,7390411,17214627,0,0,0,5839310,621642968,160755813,460887177,613,226,449.68,13.3,48.8,25.81
2012,166163274,274345664,132031601,31082347,6549376,27469044,0,4183339,0,5819370,614355601,169663304,440508943,644,289,504.58,14.3,55.1,27.06
2013,160275598,251537730,131896467,42727630,5828794,35156916,0,7705071,4170499,5603992,604141789,184623403,411813327,621,259,474.92,14.8,55.6,29.53
2014,173240561,193361976,119543488,50858508,7849088,46615336,0,14945267,7912108,5600312,567710996,186163190,366602535,562,183,418.67,14.8,58.8,30.82
2015,168619299,148999599,131415298,63359186,8188877,46502835,0,22576789,14735770,5367658,557894818,217699137,317618895,535,142,358.14,17.2,66.7,36.61
2016,254507906,56046420,133602181,60627343,6758571,40596225,0,28394704,20140434,5726570,560077559,221128480,310554316,470,97,274.92,16.7,71.2,37.47
2017,238453398,41227481,131113359,88437064,7921093,38974545,4445182,24491796,20882123,5483664,556971496,248353634,279680870,425,70,241.15,17.9,79.5,42.55
2018,230483639,30800395,121304334,102487789,6410131,44089945,32203989,1431362,22750392,4746682,547872031,252952638,261284026,410,62,215.84,18.4,80.3,43.29
2019,229132055,11872365,105533433,116873252,7148614,50211809,34405937,1431362,22968652,3376547,529365670,252523952,241004410,382,46,190.65,16.1,85,44.24
2020,190189923,8764072,94813611,136602108,8620858,46080460,35960483,2940929,24085839,2980566,501977823,264122409,198953991,332,41,170.05,16.5,83.1,48.68
2021,214502385,9946986,86833820,124412037,6474433,58700282,38035202,3664810,23468725,3609618,507338398,241189026,224449363,331,34,184.33,12.8,83.3,42.73
2022,222459718,8545026,89455702,154503681,6657301,32534369,29940178,5109362,26382075,3841036,543053043,276998765,231004742,323,38,182.45,13.8,87.2,48.16
2023,172917497,5526610,76595858,157958605,6496111,66878246,26717394,5136315,26447111,3315256,477795501,267497689,178444103,310,27,149.19,13,88.2,49.1
